# Output from icenk version 1.01 on Tue Oct  6 12:29:24 2020
# 
# Amorphous CH3OH at 10K, n=1.314, h=1.02 microns, measured on a KBr substrate
# 
# Spectrum file          "example1-spectrum.txt"
# Substrate n and k from "kbr-nk.txt"
# Sample thickness       1.020 microns
# Sample visible index   1.314 at a wavelength of 670.0 nm
# Input parameters from  "icenk-inputfile.txt"
# 
# If this code is used in your research, please cite Gerakines, P.A., and Hudson, R. L. 2020. A Modified Algorithm and Open-source Computational Package for the Determination of Infrared Optical Constants Relevant to Astrophysics. ApJ, 901, 52.
# 
# For the original Python code, calculation details, and general information
# from our group - please visit http://science.gsfc.nasa.gov/691/cosmicice
# 
# Wavnum [cm-1]    Abs(Calculated)           n                  k       
# -------------    ---------------    ---------------    ---------------
# 
2.007600000e+03    2.827640803e-04    1.319823343e+00    1.583349994e-05
2.007700000e+03    2.912139585e-04    1.319823147e+00    2.326960768e-05
2.007800000e+03    2.996641835e-04    1.319828414e+00    3.047958313e-05
2.007900000e+03    3.160641202e-04    1.319831382e+00    4.478806939e-05
2.008000000e+03    3.301644181e-04    1.319826803e+00    5.738119287e-05
2.008100000e+03    3.411643452e-04    1.319821161e+00    6.728579962e-05
2.008200000e+03    3.490646058e-04    1.319811931e+00    7.460708250e-05
2.008300000e+03    3.515144777e-04    1.319804055e+00    7.707050802e-05
2.008400000e+03    3.539646821e-04    1.319798012e+00    7.945826386e-05
2.008500000e+03    3.566645577e-04    1.319791130e+00    8.210042375e-05
2.008600000e+03    3.568647489e-04    1.319782663e+00    8.260612166e-05
2.008700000e+03    3.546645942e-04    1.319774580e+00    8.098186890e-05
2.008800000e+03    3.491647343e-04    1.319767109e+00    7.642644940e-05
2.008900000e+03    3.444645526e-04    1.319762715e+00    7.244859379e-05
2.009000000e+03    3.397646994e-04    1.319754227e+00    6.864059882e-05
2.009100000e+03    3.265644661e-04    1.319746149e+00    5.733082568e-05
2.009200000e+03    3.103644999e-04    1.319743837e+00    4.314274805e-05
2.009300000e+03    2.932642071e-04    1.319746120e+00    2.797353845e-05
2.009400000e+03    2.780642089e-04    1.319755670e+00    1.417869401e-05
2.009500000e+03    2.722639798e-04    1.319767202e+00    8.578564327e-06
2.009600000e+03    2.664640612e-04    1.319774261e+00    3.164004442e-06
2.009700000e+03    2.596638294e-04    1.319785221e+00    -3.291940753e-06
2.009800000e+03    2.575639221e-04    1.319797207e+00    -5.652297791e-06
2.009900000e+03    2.583637527e-04    1.319808568e+00    -5.434324394e-06
2.010000000e+03    2.605638873e-04    1.319817390e+00    -3.878915677e-06
2.010100000e+03    2.614637316e-04    1.319825757e+00    -3.449383768e-06
2.010200000e+03    2.623638537e-04    1.319834562e+00    -3.037867907e-06
2.010300000e+03    2.635636992e-04    1.319844309e+00    -2.401630366e-06
2.010400000e+03    2.653638200e-04    1.319855157e+00    -1.282794399e-06
2.010500000e+03    2.699636879e-04    1.319867378e+00    2.242761943e-06
2.010600000e+03    2.747638311e-04    1.319878099e+00    6.006190686e-06
2.010700000e+03    2.795636911e-04    1.319894267e+00    9.543490588e-06
2.010800000e+03    2.956638985e-04    1.319912787e+00    2.292596347e-05
2.010900000e+03    3.182639171e-04    1.319925125e+00    4.228196903e-05
2.011000000e+03    3.453642464e-04    1.319932882e+00    6.578542036e-05
2.011100000e+03    3.743643746e-04    1.319928087e+00    9.147800730e-05
2.011200000e+03    3.879646512e-04    1.319917618e+00    1.038550975e-04
2.011300000e+03    4.015646453e-04    1.319916834e+00    1.158300532e-04
2.011400000e+03    4.241649835e-04    1.319909359e+00    1.359983893e-04
2.011500000e+03    4.400650486e-04    1.319892714e+00    1.506504583e-04
2.011600000e+03    4.478653022e-04    1.319873354e+00    1.582888016e-04
2.011700000e+03    4.470652415e-04    1.319854368e+00    1.583463474e-04
2.011800000e+03    4.427153796e-04    1.319839863e+00    1.550964056e-04
2.011900000e+03    4.383652851e-04    1.319823230e+00    1.519345432e-04
2.012000000e+03    4.220653357e-04    1.319805189e+00    1.383220764e-04
2.012100000e+03    3.997650740e-04    1.319796392e+00    1.190522869e-04
2.012200000e+03    3.742650043e-04    1.319792720e+00    9.675888382e-05
2.012300000e+03    3.482646562e-04    1.319802833e+00    7.345794925e-05
2.012400000e+03    3.372146435e-04    1.319817745e+00    6.310561149e-05
2.012500000e+03    3.261644206e-04    1.319826963e+00    5.298945454e-05
2.012600000e+03    3.115643707e-04    1.319843957e+00    3.943156465e-05
2.012700000e+03    3.071641550e-04    1.319868526e+00    3.452801451e-05
2.012800000e+03    3.139642525e-04    1.319893231e+00    3.946481425e-05
2.012900000e+03    3.306642304e-04    1.319911358e+00    5.337571824e-05
2.013000000e+03    3.424144135e-04    1.319921345e+00    6.327143627e-05
2.013100000e+03    3.541643550e-04    1.319938972e+00    7.284959334e-05
2.013200000e+03    3.805646449e-04    1.319952771e+00    9.546219625e-05
2.013300000e+03    4.059647495e-04    1.319954851e+00    1.176792138e-04
2.013400000e+03    4.280650529e-04    1.319952955e+00    1.371589612e-04
2.013500000e+03    4.460651314e-04    1.319944707e+00    1.532966462e-04
2.013600000e+03    4.535653327e-04    1.319936761e+00    1.601930189e-04
2.013700000e+03    4.610653033e-04    1.319936135e+00    1.667854340e-04
2.013800000e+03    4.744655311e-04    1.319934860e+00    1.785889604e-04
2.013900000e+03    4.878655649e-04    1.319930049e+00    1.905376731e-04
2.014000000e+03    5.014658093e-04    1.319923617e+00    2.027284050e-04
2.014100000e+03    5.140658595e-04    1.319911890e+00    2.142584393e-04
2.014200000e+03    5.189160509e-04    1.319898837e+00    2.190334020e-04
2.014300000e+03    5.237660334e-04    1.319888876e+00    2.236797811e-04
2.014400000e+03    5.281662219e-04    1.319875064e+00    2.280899405e-04
2.014500000e+03    5.261661668e-04    1.319859409e+00    2.269535495e-04
2.014600000e+03    5.173662414e-04    1.319846929e+00    2.197127649e-04
2.014700000e+03    5.103161197e-04    1.319839995e+00    2.137802654e-04
2.014800000e+03    5.032662027e-04    1.319829038e+00    2.080149402e-04
2.014900000e+03    4.866660076e-04    1.319820875e+00    1.937467823e-04
2.015000000e+03    4.701659778e-04    1.319821113e+00    1.792205437e-04
2.015100000e+03    4.562657676e-04    1.319825605e+00    1.668028216e-04
2.015200000e+03    4.467657660e-04    1.319835022e+00    1.580465244e-04
2.015300000e+03    4.445156391e-04    1.319844008e+00    1.556749683e-04
2.015400000e+03    4.422657038e-04    1.319850850e+00    1.533924568e-04
2.015500000e+03    4.423655966e-04    1.319860124e+00    1.530726765e-04
2.015600000e+03    4.464657088e-04    1.319868200e+00    1.563145462e-04
2.015700000e+03    4.536656686e-04    1.319875160e+00    1.623238399e-04
2.015800000e+03    4.630658421e-04    1.319877268e+00    1.704650411e-04
2.015900000e+03    4.681658087e-04    1.319876776e+00    1.749380781e-04
2.016000000e+03    4.732659453e-04    1.319879032e+00    1.792970900e-04
2.016100000e+03    4.832659523e-04    1.319879021e+00    1.880506890e-04
2.016200000e+03    4.912661363e-04    1.319873326e+00    1.952834607e-04
2.016300000e+03    4.957661225e-04    1.319865613e+00    1.995268960e-04
2.016400000e+03    4.950662445e-04    1.319856232e+00    1.992751866e-04
2.016500000e+03    4.918661638e-04    1.319849890e+00    1.967034204e-04
2.016600000e+03    4.886662635e-04    1.319840673e+00    1.942510989e-04
2.016700000e+03    4.761661173e-04    1.319830882e+00    1.836612566e-04
2.016800000e+03    4.593660859e-04    1.319827436e+00    1.690367164e-04
2.016900000e+03    4.401658521e-04    1.319828576e+00    1.521177356e-04
2.017000000e+03    4.213657591e-04    1.319839585e+00    1.351429092e-04
2.017100000e+03    4.138155813e-04    1.319854274e+00    1.278876212e-04
2.017200000e+03    4.062655819e-04    1.319864775e+00    1.208064616e-04
2.017300000e+03    3.975653881e-04    1.319881788e+00    1.124469912e-04
2.017400000e+03    3.969654128e-04    1.319902888e+00    1.110246753e-04
2.017500000e+03    4.047653427e-04    1.319924540e+00    1.169478833e-04
2.017600000e+03    4.205655207e-04    1.319940011e+00    1.301442124e-04
2.017700000e+03    4.314655155e-04    1.319949419e+00    1.392924345e-04
2.017800000e+03    4.423656493e-04    1.319965836e+00    1.481493062e-04
2.017900000e+03    4.675657497e-04    1.319980319e+00    1.696277339e-04
2.018000000e+03    4.935660514e-04    1.319983219e+00    1.922864522e-04
2.018100000e+03    5.179661949e-04    1.319982024e+00    2.137097467e-04
2.018200000e+03    5.388664945e-04    1.319971450e+00    2.324506904e-04
2.018300000e+03    5.470165321e-04    1.319960498e+00    2.400243533e-04
2.018400000e+03    5.551667059e-04    1.319955793e+00    2.473384968e-04
